web-scraper-order,web-scraper-start-url,category,category-href,title
"1523068206-2485","https://www.zalora.com.my/women/clothing/?from=header","Hoodies & Sweatshirts","https://www.zalora.com.my/women/clothing/sweaters/?from=header",""
"1523068196-2262","https://www.zalora.com.my/women/clothing/?from=header","Jackets & Coats","https://www.zalora.com.my/women/clothing/jackets-and-coats/?from=header",""
"1523068180-1960","https://www.zalora.com.my/women/clothing/?from=header","Plus Size","https://www.zalora.com.my/women/clothing/plus-size/?from=header",""
"1523068175-1902","https://www.zalora.com.my/women/clothing/?from=header","Socks","https://www.zalora.com.my/women/clothing/socks/?from=header",""
"1523068228-2864","https://www.zalora.com.my/women/clothing/?from=header","Jeans","https://www.zalora.com.my/women/clothing/jeans/?from=header",""
"1523068248-3271","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068223-2762","https://www.zalora.com.my/women/clothing/?from=header","Playsuits & Jumpsuits","https://www.zalora.com.my/women/clothing/playsuits-jumpsuits/?from=header",""
"1523068175-1897","https://www.zalora.com.my/women/clothing/?from=header","Socks","https://www.zalora.com.my/women/clothing/socks/?from=header",""
"1523068248-3310","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068187-2042","https://www.zalora.com.my/women/clothing/?from=header","Petite","https://www.zalora.com.my/women/clothing/petite/?from=header",""
"1523068171-1783","https://www.zalora.com.my/women/clothing/?from=header","Maternity","https://www.zalora.com.my/women/clothing/maternity/?from=header",""
"1523068201-2379","https://www.zalora.com.my/women/clothing/?from=header","Blazers","https://www.zalora.com.my/women/clothing/blazers/?from=header",""
"1523068243-3149","https://www.zalora.com.my/women/clothing/?from=header","Skirts","https://www.zalora.com.my/women/clothing/skirts/?from=header",""
"1523068248-3320","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068175-1829","https://www.zalora.com.my/women/clothing/?from=header","Socks","https://www.zalora.com.my/women/clothing/socks/?from=header",""
"1523068175-1811","https://www.zalora.com.my/women/clothing/?from=header","Socks","https://www.zalora.com.my/women/clothing/socks/?from=header",""
"1523068211-2518","https://www.zalora.com.my/women/clothing/?from=header","Knitwear & Cardigans","https://www.zalora.com.my/women/clothing/cardigans/?from=header",""
"1523068192-2177","https://www.zalora.com.my/women/clothing/?from=header","Beachwear","https://www.zalora.com.my/women/clothing/swimwear/?from=header",""
"1523068206-2477","https://www.zalora.com.my/women/clothing/?from=header","Hoodies & Sweatshirts","https://www.zalora.com.my/women/clothing/sweaters/?from=header",""
"1523068196-2265","https://www.zalora.com.my/women/clothing/?from=header","Jackets & Coats","https://www.zalora.com.my/women/clothing/jackets-and-coats/?from=header",""
"1523068192-2135","https://www.zalora.com.my/women/clothing/?from=header","Beachwear","https://www.zalora.com.my/women/clothing/swimwear/?from=header",""
"1523068243-3179","https://www.zalora.com.my/women/clothing/?from=header","Skirts","https://www.zalora.com.my/women/clothing/skirts/?from=header",""
"1523068243-3227","https://www.zalora.com.my/women/clothing/?from=header","Skirts","https://www.zalora.com.my/women/clothing/skirts/?from=header",""
"1523068233-2970","https://www.zalora.com.my/women/clothing/?from=header","Shorts","https://www.zalora.com.my/women/clothing/shorts/?from=header",""
"1523068223-2773","https://www.zalora.com.my/women/clothing/?from=header","Playsuits & Jumpsuits","https://www.zalora.com.my/women/clothing/playsuits-jumpsuits/?from=header",""
"1523068206-2428","https://www.zalora.com.my/women/clothing/?from=header","Hoodies & Sweatshirts","https://www.zalora.com.my/women/clothing/sweaters/?from=header",""
"1523068238-3059","https://www.zalora.com.my/women/clothing/?from=header","Pants & Leggings","https://www.zalora.com.my/women/clothing/pants-trousers/?from=header",""
"1523068180-1963","https://www.zalora.com.my/women/clothing/?from=header","Plus Size","https://www.zalora.com.my/women/clothing/plus-size/?from=header",""
"1523068192-2196","https://www.zalora.com.my/women/clothing/?from=header","Beachwear","https://www.zalora.com.my/women/clothing/swimwear/?from=header",""
"1523068211-2581","https://www.zalora.com.my/women/clothing/?from=header","Knitwear & Cardigans","https://www.zalora.com.my/women/clothing/cardigans/?from=header",""
"1523068223-2815","https://www.zalora.com.my/women/clothing/?from=header","Playsuits & Jumpsuits","https://www.zalora.com.my/women/clothing/playsuits-jumpsuits/?from=header",""
"1523068180-1943","https://www.zalora.com.my/women/clothing/?from=header","Plus Size","https://www.zalora.com.my/women/clothing/plus-size/?from=header",""
